x,y,r,g,b,radius
639.077,558.31,249,251,236,4.2372
740.587,61.8101,194,150,192,4.72415
285.48,495.066,187,170,119,3.42213
242.776,96.8737,241,141,112,3.68106
77.3574,229.423,220,197,209,3.81836
413.46,272.736,150,182,153,4.90915
713.603,28.6937,216,250,151,4.78044
530.921,232.85,211,185,239,3.45608
442.163,167.515,207,155,201,4.68567
271.208,278.093,166,178,128,4.0001
46.6499,528.177,213,150,126,3.80895
412.437,511.817,150,177,249,4.09937
604.258,30.7642,208,144,208,3.24713
766.827,209.785,223,229,239,4.04373
468.192,17.5843,247,250,124,3.4431
554.643,481.799,217,227,112,4.54968
543.59,178.373,139,159,204,3.20155
164.569,283.232,245,249,127,4.69896
143.421,143.187,231,216,246,4.33922
143.675,286.203,171,106,161,4.00079
767.901,519.299,172,226,243,3.7692
245.404,461.855,133,159,124,4.59877
428.51,35.761,225,109,109,3.87708
74.1374,215.442,254,228,248,4.98014
612.911,53.782,201,216,209,4.73615
145.133,305.712,201,238,161,3.37784
425.707,490.666,187,237,253,3.17356
450.347,319.735,254,139,231,3.62136
284.588,280.687,236,177,128,3.93203
285.115,99.5401,155,157,144,3.87289
642.04,335.013,135,101,193,4.38047
154.12,440.199,120,189,159,3.79505
505.537,222.596,122,216,224,3.24735
526.091,279.55,132,141,175,4.28431
592.206,128.117,157,154,134,4.82718
341.505,583.785,244,228,140,3.16486
640.032,478.65,201,180,109,3.65625
626.624,302.978,196,115,254,4.66749
461.642,271.967,137,118,216,3.74071
37.5722,166.414,222,253,164,3.43756
441.836,171.314,214,189,173,4.70483
183.689,258.242,152,208,229,3.83515
13.0318,323.153,168,144,184,3.77016
467.401,51.4252,157,178,214,3.45072
148.742,544.876,138,188,141,4.10599
384.48,403.432,196,179,108,4.29714
559.224,72.93,117,135,152,4.28657
304.775,228.504,139,191,248,3.52304
679.354,396.166,234,222,139,3.42528
395.202,119.685,141,104,165,4.69316
181.556,83.9765,181,199,109,3.62512
379.705,357.969,254,252,142,4.63045
789.23,402.151,147,226,172,4.0805
287.577,234.55,181,145,105,4.62841
28.6269,306.215,156,149,200,3.81954
400.56,323.957,237,151,206,3.83495
214.347,453.988,207,252,249,4.55046
406.495,506.076,159,208,107,3.35408
341.552,129.764,225,190,190,4.96411
123.946,564.324,142,250,227,3.76946
337.888,302.2,252,164,229,3.72499
150.367,453.038,168,164,174,3.74852
410.428,275.75,243,152,120,3.69668
743.316,411.719,186,161,145,4.61039
523.838,338.094,122,113,137,3.33887
640.963,587.902,234,241,143,3.06412
534.586,12.5533,215,173,233,3.85698
358.975,246.945,116,161,232,3.27946
741.394,279.423,154,220,117,4.24554
581.881,397.034,149,189,217,4.01169
14.8873,222.063,234,247,174,4.85625
647.398,289.696,131,160,134,4.28028
411.423,383.029,113,133,153,3.4068
667.171,311.136,152,153,167,3.78799
669.668,411.468,179,162,119,4.76734
666.944,457.886,235,187,224,4.88562
737.963,505.051,116,121,174,4.20128
231.592,402.098,108,154,201,4.46978
490.389,228.727,143,177,110,3.63909
627.022,484.453,112,206,177,3.04258
390.539,577.508,195,176,194,4.34961
639.872,316.255,180,119,230,4.2748
607.846,463.69,136,223,154,4.19138
210.941,67.6661,195,203,253,4.96826
62.798,443.236,125,180,255,4.61933
372.431,273.969,125,165,164,4.33783
450.909,185.562,184,236,244,3.87518
454.316,579.722,194,113,214,3.70204
649.572,215.725,101,142,154,4.2892
208.411,447.678,104,217,173,3.81588
482.516,560.815,246,177,186,3.3335
730.183,502.827,139,229,164,3.50062
193.464,306.508,231,162,217,4.88389
479.345,511.588,241,214,176,3.55353
249.747,339.525,212,252,199,3.47293
658.791,299.272,238,191,223,4.41927
176.138,266.173,119,238,243,4.54736
299.694,449.843,194,109,116,3.98678
471.565,581.934,187,202,209,3.84484
111.9,197.979,227,165,139,3.19172
373.34,590.857,175,131,140,3.66704
168.587,513.971,115,164,217,4.70895
326.034,353.384,206,169,229,4.29772
246.944,466.053,208,242,125,4.25975
282.306,542.812,218,123,251,4.31842
615.92,59.7918,172,107,240,4.50101
738.333,132.583,115,139,241,4.81328
253.603,134.812,213,112,210,4.72872
492.653,315.313,121,240,149,4.13567
550.307,173.353,242,176,122,3.55664
160.101,17.2418,172,243,186,4.94516
564.143,584.94,166,120,223,4.51707
661.418,206.333,238,253,209,3.18776
318.739,469.903,236,148,151,4.49776
461.805,238.157,147,106,105,3.57614
168.19,509.621,172,217,156,3.56753
698.28,179.28,224,142,170,4.00373
53.7173,351.662,239,174,134,4.70739
257.928,580.975,117,124,237,3.36774
668.078,408.728,166,205,190,4.91918
36.8205,426.353,116,207,246,4.66062
745.072,400.146,123,235,254,3.56619
670.501,466.8,128,255,227,3.1636
700.32,28.9686,113,118,163,3.57332
520.122,424.225,187,197,179,4.07868
606.075,496.347,161,175,179,3.9391
384.317,140.621,130,240,241,4.23454
473.814,118.24,137,235,106,4.0613
727.513,196.969,124,219,186,3.76741
341.531,537.791,124,147,116,3.04991
634.247,128.442,152,170,108,4.01539
623.692,492.076,129,231,143,4.78447
425.065,206.751,167,186,238,4.82894
420.073,343.846,113,128,188,3.69204
374.571,285.414,240,239,119,3.64146
118.583,512.762,181,117,128,3.95617
363.58,71.5434,238,121,138,4.81858
368.559,400.918,104,159,116,4.05105
255.712,393.351,109,143,228,4.5989
737.502,516.159,126,218,237,4.7896
678.168,43.9509,239,163,179,4.26719
605.633,283.667,184,158,202,3.95053
744.276,421.838,206,151,224,3.99505
531.186,582.749,165,174,127,3.44228
754.471,262.393,126,164,173,4.02719
766.056,540.617,162,195,120,3.85214
310.464,576.972,197,196,139,4.24262
207.292,348.081,192,124,135,3.25956
458.842,168.46,187,163,182,3.11074
558.561,386.18,112,116,177,3.69063
533.771,166.813,221,245,235,4.36927
308.398,523.309,214,224,204,4.57225
555.641,403.061,207,140,122,4.01145
178.069,143.771,103,132,203,4.77381
608.564,284.013,138,164,133,4.21304
81.9854,448.776,122,201,195,4.90576
723.7,304.151,155,107,148,3.71564
433.472,431.669,157,167,163,4.45351
659.964,363.95,112,254,245,4.0618
157.604,237.512,231,105,222,4.25914
761.524,99.2743,157,233,119,4.48569
289.435,93.3823,118,203,163,3.35121
132.356,366.45,228,167,224,3.69961
84.4554,292.088,145,219,234,4.47368
426.956,408.72,103,133,113,3.89302
375.797,272.705,203,105,113,3.14773
113.113,192.632,229,156,242,4.7788
95.1314,544.363,122,234,180,4.07421
688.581,230.194,212,195,112,4.79245
29.3151,417.97,164,204,118,4.19213
266.822,530.409,184,119,125,4.72361
578.538,494.256,228,140,248,4.52374
690.19,251.731,241,154,192,4.94156
788.986,568.757,115,197,144,4.80532
605.023,554.098,153,203,197,3.4674
155.084,128.908,200,136,127,4.70312
403.717,228.934,207,116,147,3.92753
321.613,226.101,115,135,188,4.09412
559.946,378.196,170,225,216,3.37528
130.617,64.0347,178,117,145,4.18512
80.8865,288.468,247,167,145,4.20106
682.056,290.092,130,130,229,4.44771
693.394,220.429,224,187,209,4.566
214.417,119.589,158,122,218,3.96975
397.583,357.22,111,149,175,3.63122
361.576,108.683,138,210,215,4.24299
400.89,357.886,244,101,143,3.37609
601.241,207.559,235,110,243,4.96463
330.438,95.2741,135,100,213,4.08019
739.866,373.859,201,189,136,3.65829
168.537,337.203,147,122,190,3.62679
43.2988,306.139,229,194,241,4.94896
752.95,376.298,240,125,167,3.50562
569.048,210.295,152,240,100,3.31162
448.848,376.113,167,251,138,3.72893
648.282,19.4453,226,133,228,4.90276
758.76,372.105,106,113,250,4.07764
106.169,573.172,229,102,228,4.58174
47.7682,25.3085,151,199,157,3.64795
420.727,126.324,150,132,179,3.32279
162.418,41.3336,206,144,184,4.17192
247.838,87.0346,173,187,177,3.04668
235.059,107.181,210,191,149,4.48013
564.305,233.701,183,161,219,4.61762
744.081,102.508,100,166,172,4.13523
684.816,534.807,176,177,133,3.23524
769.019,139.94,114,235,253,4.67192
403.573,206.589,102,102,233,4.26822
738.643,238.888,127,183,219,4.46533
272.062,8.76256,104,125,228,3.54612
282.479,436.907,167,152,239,3.37298
777.919,519.422,100,178,198,4.19379
21.4685,149.668,125,165,201,4.61112
473.445,418.938,109,134,139,3.92695
70.2966,436.981,117,119,202,3.26323
574.989,299.427,107,242,241,3.79916
337.257,160.774,135,165,254,3.34633
417.237,500.418,128,139,203,4.922
241.748,164.655,212,242,190,3.31122
784.405,412.902,203,123,233,3.02392
734.062,147.476,191,234,107,4.48806
642.563,213.658,204,245,106,4.42022
523.543,46.9915,220,137,240,3.90375
245.25,64.9358,129,119,175,4.17324
582.016,426.139,160,179,116,4.92381
406.548,328.275,165,254,159,4.89153
612.731,316.707,230,147,244,4.76293
661.767,478.683,233,161,250,4.64656
75.9483,136.395,205,146,224,3.24943
454.039,440.608,196,200,235,4.94676
113.299,108.331,105,215,171,4.41002
515.737,484.468,239,155,187,4.91987
407.154,131.503,230,207,194,3.90052
632.315,256.932,194,183,205,4.38535
21.7955,554.539,200,156,198,4.48367
445.658,191.455,133,196,241,4.6
478.11,366.958,178,236,245,4.78028
658.68,109.979,237,176,204,3.36899
595.583,569.047,159,211,242,3.71301
460.302,432.311,131,196,201,3.15227
635.691,521.969,149,141,254,4.52636
534.85,583.5,137,138,162,4.84098
206.909,471.758,159,142,219,4.1624
251.723,111.742,182,231,144,4.79572
231.007,346.16,185,230,172,4.30854
691.978,10.0834,247,242,126,3.13981
434.165,13.5087,141,155,201,4.1146
724.05,38.5563,157,255,145,4.39084
564.523,476.72,179,226,243,3.14883
30.2143,530.147,149,106,130,3.26311
135.766,113.747,209,110,113,4.98253
372.034,522.043,145,167,174,3.72047
765.344,162.504,214,213,132,3.03522
496.258,278.939,246,230,125,3.46
634.763,518.63,185,174,114,3.20644
198.094,442.559,187,180,161,4.21024
237.314,84.038,157,204,179,3.76234
777.285,387.063,178,131,136,3.87487
339.622,308.001,181,215,227,4.6978
616.131,153.072,167,134,230,4.13414
508.944,133.828,175,139,113,4.87441
724.873,420.935,113,240,231,4.49913
678.055,378.831,171,139,245,3.08685
645.414,150.717,220,112,193,4.38642
138.601,391.305,121,114,211,4.67873
450.485,518.327,133,200,108,4.84335
130.663,371.957,107,176,162,4.95635
439.969,209.945,229,210,238,3.00102
235.242,59.1872,227,186,245,4.48311
89.3489,10.4201,153,101,238,3.11258
456.333,528.004,129,124,237,4.86096
86.4419,12.9034,169,226,159,4.77606
631.171,537.871,192,169,116,3.05364
41.4099,304.203,235,153,217,3.24038
506.752,31.6486,114,241,119,4.37403
80.9467,586.134,103,253,121,4.24556
702.593,262.76,222,138,180,3.73004
246.557,388.016,175,174,209,4.47276
605.843,294.561,229,215,209,3.02068
553.285,92.3752,216,107,119,3.66588
652.108,419.625,199,112,254,3.11886
525.585,198.109,222,194,251,4.24742
368.298,558.388,120,255,122,4.12125
541.285,441.621,168,206,228,4.21767
178.536,214.562,198,186,127,4.93196
332.707,241.245,175,184,244,3.13856
468.754,411.942,199,167,222,3.60363
610.083,104.957,249,243,230,3.00069
367.816,118.136,220,207,153,4.89938
777.046,203.364,129,173,192,3.38293
700.192,83.1791,124,180,157,3.98791
308.269,455.421,186,202,159,3.64537
211.351,64.0067,137,153,187,3.31478
736.581,428.153,230,102,110,4.3411
174.588,282.671,130,143,105,4.43597
628.012,170.675,234,247,149,3.38279
53.7281,188.62,126,244,120,4.73428
155.2,493.824,241,192,149,3.72865
92.0978,199.184,253,191,158,3.74208
629.413,142.874,182,146,190,3.61163
132.17,485.796,210,223,145,3.89048
260.611,494.047,141,238,144,3.72176
420.818,260.846,234,184,169,4.44863
649.212,455.473,118,114,139,4.59193
737.838,539.635,229,210,112,4.77866
574.449,219.243,211,137,182,3.63899
246.794,367.547,237,192,110,4.01426
55.6799,586.853,176,118,248,4.43631
688,69.7241,104,209,122,4.30313
467.205,24.7414,146,217,157,3.76606
209.656,387.794,134,124,204,3.99128
14.0611,226.777,219,186,143,3.73588
262.087,281.932,136,208,106,4.65245
572.376,94.3956,121,155,158,4.40974
40.5243,397.134,254,239,248,4.90195
188.206,16.8329,146,120,112,3.44496
172.032,344.228,162,135,153,4.74608
125.286,98.4698,116,192,138,3.74126
367.542,153.621,109,157,152,3.24376
619.782,273.807,244,168,131,4.85277
393.961,330.122,108,128,147,4.45445
74.3016,263.752,106,120,120,3.38711
770.415,35.2222,139,187,241,3.53168
536.136,175.678,128,253,197,4.91988
544.468,182.605,134,203,215,4.9858
49.3453,551.784,247,251,187,3.12555
14.7521,159.116,134,164,106,3.92295
479.855,464.341,183,147,199,3.77665
776.777,78.3666,235,125,238,4.13583
381.04,208.036,228,105,121,4.63009
132.203,547.326,125,251,176,3.11402
556.831,460.897,157,190,116,4.7653
91.5381,114.948,162,116,138,3.45387
101.541,358.012,203,216,160,3.53182
354.576,551.727,245,165,246,4.91461
40.1739,148.326,120,181,151,3.63355
402.243,493.037,254,239,110,4.96972
545.849,187.96,100,234,120,3.39813
515.705,258.493,163,123,224,3.55413
538.413,321.722,179,230,242,3.23962
232.918,355.692,122,181,184,3.77269
497.669,193.262,222,157,187,4.12829
620.596,261.264,121,124,153,4.89038
370.993,171.713,201,159,246,3.23543
385.081,478.372,128,172,129,4.04974
706.418,498.447,174,179,234,4.51614
470.641,558.64,251,117,150,3.02197
371.859,261.985,101,134,178,4.15898
492.338,95.2055,237,115,156,4.01655
265.432,293.194,104,172,163,4.65137
104.014,342.542,177,102,212,4.2151
266.611,68.4109,207,223,101,3.11868
58.8634,480.76,162,153,148,4.68514
537.436,499.043,240,203,119,4.8624
300.403,208.455,222,187,235,3.37655
579.937,426.107,115,246,185,3.18358
765.183,573.647,111,119,199,4.63872
522.432,289.333,100,115,142,4.24373
764.122,142.653,162,184,141,3.49467
600.963,520.932,240,155,109,4.9231
204.964,531.438,138,106,201,4.44895
646.8,287.103,226,102,177,4.5648
152.701,214.748,248,161,165,4.96194
167.973,83.5825,110,147,166,3.73055
668.438,67.512,231,171,174,4.42332
644.082,319.501,144,194,232,3.11386
334.75,309.979,237,189,248,3.8892
503.085,236.978,243,130,112,4.41627
49.6302,116.064,124,238,200,3.84692
643.936,326.223,196,143,229,4.39487
513.994,289.248,233,226,121,4.6357
533.403,67.8181,109,138,181,4.06202
225.061,169.067,253,131,121,3.51982
640.248,531.327,225,253,116,4.8993
707.203,580.543,166,238,109,3.40482
242.397,133.696,247,233,219,3.7734
546.902,222.285,250,111,137,3.32923
446.11,171.75,234,213,250,4.6996
307.447,368.589,173,200,234,4.52857
701.504,383.319,171,226,179,4.48889
415.791,280.816,151,133,168,3.51449
254.114,384.451,178,248,123,3.5529
625.72,354.228,120,234,192,4.87241
689.515,426.458,139,237,187,3.04651
20.5366,99.4933,204,228,163,4.37324
686.714,301.22,177,103,133,3.67327
71.9019,552.309,228,163,135,4.05409
556.057,294.554,158,177,250,4.69366
35.0964,569.017,252,125,155,4.59279
425.201,249.17,143,223,155,4.20147
12.319,105.049,115,178,107,4.42976
55.4824,302.791,119,212,252,4.71215
373.966,303.23,112,203,119,4.32284
310.283,112.474,149,106,200,4.4235
681.05,453.578,134,241,224,4.83029
669.389,558.701,120,233,100,3.50299
266.427,496.775,102,246,214,4.93197
494.689,391.036,139,165,129,4.97354
270.047,217.015,110,149,192,3.60098
37.9381,218.715,164,108,167,4.63147
33.5052,198.966,141,202,149,4.16607
48.5002,111.332,103,121,165,4.66015
569.016,391.081,195,138,118,3.85128
70.3748,197.291,191,223,224,3.26811
727.752,147.33,154,193,254,4.03301
439.136,353.146,246,196,180,4.90903
550.653,54.0299,129,244,122,4.08296
744.237,229.398,181,123,199,4.97155
516.368,422.269,219,120,254,4.18673
153.43,548.915,166,251,104,3.64654
418.738,360.702,230,137,210,4.37021
504.386,435.873,157,220,171,3.60566
55.8859,221.216,241,226,130,3.6996
591.24,510.425,105,189,198,3.0628
737.857,40.4496,233,116,111,4.06621
419.283,548.249,168,113,107,4.92402
586.828,363.623,162,166,152,3.77953
599.352,520.169,149,246,168,3.34507
304.209,355.033,216,205,113,4.78383
486.541,41.0666,221,180,188,3.91148
435.576,183.714,194,130,116,3.58661
247.821,586.233,230,117,127,4.09994
226.782,270.067,126,210,221,4.6503
153.237,103.93,146,219,123,4.20749
318.199,547.847,199,191,233,3.43796
541.254,126.365,158,121,220,4.10605
352.445,316.546,143,223,190,3.19866
760.621,558.548,248,116,195,4.44594
694.456,226.316,138,227,202,3.21573
250.67,400.539,194,237,174,4.28843
388.646,564.551,210,238,168,4.84881
491.866,368.728,130,243,250,4.7328
682.742,84.5038,160,198,222,3.79727
489.917,535.107,201,204,106,3.77451
449.843,585.864,147,247,141,3.72584
342.061,101.711,188,111,153,4.3439
741.706,94.622,253,153,152,4.03159
272.646,49.1168,222,177,143,4.75633
329.266,151.3,193,232,172,3.22936
279.957,35.197,153,225,139,3.15617
659.926,478.245,119,247,124,3.36161
645.123,156.555,139,204,204,4.85111
120.253,394.86,208,210,100,4.48273
13.5299,274.728,126,161,208,4.55947
514.637,227.569,109,138,134,4.01073
618.644,398.889,140,231,242,3.41742
678.975,306.469,205,205,202,4.33752
647.279,36.7957,255,161,157,4.29051
53.3905,552.069,154,224,252,4.05885
745.398,158.632,204,136,125,4.38727
599.741,522.258,203,140,179,3.4054
570.878,559.26,135,167,214,3.34756
564.375,121.852,105,254,115,3.43348
586.437,377.673,155,143,215,4.98926
509.609,232.042,128,254,200,4.18661
140.84,125.272,122,223,251,3.60251
299.908,20.3193,106,193,140,3.68381
628.028,147.909,147,117,183,3.35197
606.217,496.51,219,214,125,4.11046
334.458,184.824,165,105,237,4.97994
586.844,232.032,204,202,139,3.72502
398.116,552.336,223,160,251,4.69245
340.197,463.46,184,203,120,3.20889
323.842,452.519,139,246,171,4.45754
396.891,412.447,251,196,103,3.96501
352.229,347.188,195,117,226,4.45706
632.019,204.874,103,109,138,4.6431
689.065,340.882,244,136,192,4.65263
262.293,96.7913,197,181,143,3.16568
395.877,18.8405,142,214,129,3.38799
204.806,425.935,221,243,197,4.61495
262.748,407.075,233,167,158,3.59681
488.256,246.094,116,239,142,3.39515
505.473,337.159,213,231,185,3.51569
183.974,11.2148,159,186,145,4.80642
775.917,269.868,121,234,100,4.02945
480.88,252.727,225,138,248,4.81015
149.317,310.823,190,177,139,3.216
374.307,65.5814,159,193,127,4.84322
234.656,523.378,129,161,133,4.21834
129.374,422.882,110,228,114,3.82515
317.155,394.698,215,249,219,3.18806
584.71,488.863,166,132,171,3.25843
640.373,536.113,145,166,150,3.10636
350.616,419.097,106,154,159,3.04503
667.467,15.3536,111,112,231,3.59366
234.007,77.1275,229,142,186,4.19906
635.057,534.01,169,171,163,4.65476
173.017,107.936,208,189,132,4.31507
726.662,253.341,112,212,191,4.23376
331.576,298.08,104,151,134,4.90509
534.116,365.951,146,223,181,4.76375
509.739,339.527,128,102,199,4.08462
743.776,583.531,219,229,164,3.94436
453.925,581.086,181,197,213,3.49569
623.578,19.9617,142,172,112,4.10689
551.306,243.28,238,155,111,4.83789
773.056,487.831,105,135,115,4.41286
237.266,145.504,193,160,194,3.07417
247.525,545.728,123,151,234,3.46675
577.203,243.971,110,150,162,4.45162
241.108,437.587,181,253,193,4.77715
315.058,27.2984,171,106,227,3.75866
785.971,251.945,247,107,225,4.58791
308.105,231.907,120,163,211,3.42261
98.0625,501.897,235,154,140,3.05261
597.18,327.998,209,202,146,4.29372
602.644,455.248,197,146,173,4.71533
70.658,321.169,106,193,253,4.42144
217.09,439.56,210,251,243,4.85402
608.361,176.341,133,209,196,4.1414
280.501,586.316,130,204,200,4.33318
615.775,300.492,144,183,125,3.95791
305.241,70.6328,133,220,227,3.38512
554.844,214.219,211,177,180,4.34071
714.752,118.534,129,186,191,4.63133
685.152,366.212,152,227,214,3.90615
52.2552,469.326,244,216,157,3.41662
333.437,108.682,252,101,152,4.74908
158.259,37.491,146,170,211,4.21583
602.596,266.968,219,182,185,3.8821
404.422,430.633,159,228,246,4.75005
163.735,280.332,168,119,182,4.85699
571.987,182.524,150,248,222,3.40599
717.737,376.481,181,176,208,3.61223
482.483,356.904,104,209,212,4.51872
678.819,128.115,156,151,195,3.49335
363.48,201.32,231,228,196,4.63699
215.031,230.156,174,246,168,3.2811
53.2852,552.564,145,231,172,4.56888
591.47,284.195,120,234,193,3.31888
55.6013,111.965,218,104,123,4.81151
668.86,94.4216,201,171,254,4.69047
456.309,257.742,246,141,218,4.23384
64.5042,158.509,214,239,177,3.05725
743.833,538.52,193,206,202,3.13268
662.634,459.173,245,138,179,4.80566
513.261,13.0524,132,101,207,4.68271
643.263,101.957,175,130,123,4.69879
234.651,307.121,193,158,165,3.14486
471.578,363.663,149,255,254,4.18803
139.853,28.2456,152,153,250,3.67057
122.469,440.322,244,252,193,4.6529
695.312,249.65,232,241,135,4.55184
182.799,139.629,126,135,114,4.67861
676.172,126.989,198,146,237,4.60063
339.552,204.498,134,106,254,3.0962
17.4288,153.677,149,188,196,3.13768
148.84,368.289,245,193,124,4.71383
745.363,250.12,189,166,197,3.48646
752.623,549.189,185,251,154,4.81019
271.738,152.157,209,178,230,3.51816
484.707,191.005,160,112,155,3.6285
479.128,530.934,223,171,120,3.24913
523.311,214.408,113,113,199,3.64707
242.543,89.79,208,240,252,3.3343
575.04,472.233,115,248,126,3.50928
115.506,570.685,206,133,181,4.32613
103.748,566.133,199,250,230,3.59358
